episode_id,timestamp,mode,contact_occurred,touchdown_time_seconds,landing_velocity_fps,fuel_remaining_units,reward,turns,min_altitude,max_speed,policy_params_json
1,1774696868.128864,live,True,25.8652,29.3258,0.0,-29.3258,23,23.5,75.0,"{""burn_large"": 13.0, ""burn_max"": 20.0, ""burn_medium"": 8.0, ""burn_small"": 4.0, ""target_v_final"": 5.0, ""target_v_high"": 70.0, ""target_v_low"": 13.0, ""target_v_mid"": 26.0, ""target_v_mid_high"": 45.0}"
2,1774696872.7044184,live,True,23.7947,18.9737,0.0,-18.9737,23,13.5,75.0,"{""burn_large"": 9.405498495332603, ""burn_max"": 14.0, ""burn_medium"": 7.3613861443323465, ""burn_small"": 4.0, ""target_v_final"": 4.870671038366587, ""target_v_high"": 70.0, ""target_v_low"": 16.10700940820387, ""target_v_mid"": 31.48375295894375, ""target_v_mid_high"": 45.0}"
3,1774696877.7585893,live,True,25.02,25.0998,0.0,-25.0998,23,23.0,75.0,"{""burn_large"": 9.723187040234007, ""burn_max"": 14.97740988347422, ""burn_medium"": 12.0, ""burn_small"": 4.0, ""target_v_final"": 5.992672270609249, ""target_v_high"": 70.0, ""target_v_low"": 17.545860155207404, ""target_v_mid"": 27.44688269180041, ""target_v_mid_high"": 45.0}"
4,1774696882.729056,live,True,25.099,25.4951,0.0,-25.4951,23,2.5,75.0,"{""burn_large"": 15.711898922595068, ""burn_max"": 19.00736829830887, ""burn_medium"": 6.9593180952345, ""burn_small"": 4.0, ""target_v_final"": 7.723638517165558, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 27.951808419704452, ""target_v_mid_high"": 45.0}"
5,1774696887.6778758,live,True,25.1381,25.6905,0.0,-25.6905,22,3.5,75.0,"{""burn_large"": 10.140331028730424, ""burn_max"": 15.273661568348052, ""burn_medium"": 8.872089186832925, ""burn_small"": 4.0, ""target_v_final"": 6.023939032542716, ""target_v_high"": 70.0, ""target_v_low"": 8.415429657741491, ""target_v_mid"": 33.20226816890973, ""target_v_mid_high"": 45.0}"
6,1774696892.5861115,live,True,24.6904,23.4521,0.0,-23.4521,23,15.0,75.0,"{""burn_large"": 12.665669711971663, ""burn_max"": 14.0, ""burn_medium"": 7.570144401904426, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 28.3108234405246, ""target_v_mid_high"": 45.0}"
7,1774696897.391224,live,True,25.1381,25.6905,0.0,-25.6905,23,3.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 22.247201910176408, ""burn_medium"": 7.290809010717411, ""burn_small"": 4.0, ""target_v_final"": 5.874169045512988, ""target_v_high"": 70.0, ""target_v_low"": 13.668660748542035, ""target_v_mid"": 28.724086941389427, ""target_v_mid_high"": 45.0}"
8,1774696902.1214237,live,True,24.6043,23.0217,0.0,-23.0217,22,13.0,75.0,"{""burn_large"": 15.977306881951737, ""burn_max"": 14.771731506280306, ""burn_medium"": 7.157972747165514, ""burn_small"": 4.0, ""target_v_final"": 5.345244534695528, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
9,1774696906.9366097,live,True,24.0497,20.2485,0.0,-20.2485,22,1.0,75.0,"{""burn_large"": 9.369708272363527, ""burn_max"": 14.0, ""burn_medium"": 5.074594137980245, ""burn_small"": 4.0, ""target_v_final"": 2.0, ""target_v_high"": 70.0, ""target_v_low"": 16.58480620880782, ""target_v_mid"": 32.55433918585434, ""target_v_mid_high"": 45.0}"
10,1774696911.8725555,live,True,25.6921,28.4605,0.0,-28.4605,23,18.5,75.0,"{""burn_large"": 10.369512245724204, ""burn_max"": 14.0, ""burn_medium"": 12.0, ""burn_small"": 4.0, ""target_v_final"": 10.0, ""target_v_high"": 70.0, ""target_v_low"": 12.396027865267436, ""target_v_mid"": 29.540455568540064, ""target_v_mid_high"": 45.0}"
11,1774696916.8364136,live,True,25.4037,27.0185,0.0,-27.0185,22,10.5,75.0,"{""burn_large"": 15.97670562609277, ""burn_max"": 14.0, ""burn_medium"": 9.520058153427499, ""burn_small"": 4.0, ""target_v_final"": 4.092672676199385, ""target_v_high"": 70.0, ""target_v_low"": 16.16271856085529, ""target_v_mid"": 29.502942560383264, ""target_v_mid_high"": 45.0}"
12,1774696921.7316267,live,True,24.5607,22.8035,0.0,-22.8035,23,12.0,75.0,"{""burn_large"": 9.213452512252601, ""burn_max"": 15.374901393474406, ""burn_medium"": 10.258160789996053, ""burn_small"": 4.0, ""target_v_final"": 8.605130196998568, ""target_v_high"": 70.0, ""target_v_low"": 16.15421886105147, ""target_v_mid"": 29.870946416321836, ""target_v_mid_high"": 45.0}"
13,1774696926.3774872,live,True,24.0,20.0,0.0,-20.0,22,17.5,75.0,"{""burn_large"": 9.956508810962026, ""burn_max"": 14.846834424523916, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 4.716909760052825, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
14,1774696930.9761019,live,True,23.4641,17.3205,0.0,-17.3205,23,7.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 14.0, ""burn_medium"": 7.175049330653656, ""burn_small"": 4.0, ""target_v_final"": 9.737219108647338, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 30.181172822401074, ""target_v_mid_high"": 45.0}"
15,1774696935.7616768,live,True,23.1833,16.7332,0.0,-16.7332,24,3.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 17.974609717161222, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 7.185341603894253, ""target_v_high"": 70.0, ""target_v_low"": 15.387914189389353, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
16,1774696940.5681872,live,True,24.3359,21.6795,0.0,-21.6795,23,7.0,75.0,"{""burn_large"": 15.949253326950469, ""burn_max"": 14.0, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 8.97756081442531, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
17,1774696945.0087798,live,True,21.3947,19.0,9.0,-19.0,22,7.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 16.83274384382282, ""burn_medium"": 5.117991863207312, ""burn_small"": 4.0, ""target_v_final"": 10.0, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
18,1774696949.816716,live,True,24.0497,20.2485,0.0,-20.2485,23,1.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 21.089838278872502, ""burn_medium"": 5.960506230253964, ""burn_small"": 4.0, ""target_v_final"": 9.396718581787063, ""target_v_high"": 70.0, ""target_v_low"": 15.45756482385734, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
19,1774696954.530773,live,True,23.2249,16.1245,0.0,-16.1245,23,3.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 22.615183486387604, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 7.1979281878077925, ""target_v_high"": 70.0, ""target_v_low"": 15.544806478580856, ""target_v_mid"": 33.958521002732276, ""target_v_mid_high"": 45.0}"
20,1774696959.3175232,live,True,24.5166,22.5832,0.0,-22.5832,24,11.0,75.0,"{""burn_large"": 12.662707850113804, ""burn_max"": 19.441133989846335, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 10.0, ""target_v_high"": 70.0, ""target_v_low"": 9.247848827271458, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
21,1774696964.0930798,live,True,23.899,19.5959,0.0,-19.5959,24,16.0,75.0,"{""burn_large"": 12.555040232395978, ""burn_max"": 22.826094223552275, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 9.083872037361212, ""target_v_high"": 70.0, ""target_v_low"": 14.019177425462512, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
22,1774696968.9776616,live,True,24.899,24.4949,0.0,-24.4949,24,20.0,75.0,"{""burn_large"": 12.314330436317519, ""burn_max"": 24.1721360343473, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 8.292335092588917, ""target_v_high"": 70.0, ""target_v_low"": 10.620233889878357, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
23,1774696973.3566232,live,True,21.9013,15.3948,5.0,-15.3948,22,15.5,75.0,"{""burn_large"": 9.0, ""burn_max"": 19.07932393012379, ""burn_medium"": 5.355426584819481, ""burn_small"": 4.0, ""target_v_final"": 8.708303027916974, ""target_v_high"": 70.0, ""target_v_low"": 17.92425398770226, ""target_v_mid"": 34.0, ""target_v_mid_high"": 45.0}"
24,1774696978.1683376,live,True,24.3818,21.9089,0.0,-21.9089,23,8.0,75.0,"{""burn_large"": 9.0, ""burn_max"": 24.853010034247035, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 6.078208532896712, ""target_v_high"": 70.0, ""target_v_low"": 18.0, ""target_v_mid"": 31.65239361960476, ""target_v_mid_high"": 45.0}"
25,1774696982.9632595,live,True,23.3907,19.3907,0.0,-19.3907,24,7.5,75.0,"{""burn_large"": 9.387709619018766, ""burn_max"": 15.083293970859987, ""burn_medium"": 5.0, ""burn_small"": 4.0, ""target_v_final"": 9.028680389126201, ""target_v_high"": 70.0, ""target_v_low"": 16.808962285693916, ""target_v_mid"": 28.75459205485638, ""target_v_mid_high"": 45.0}"
